# 料理名ラベリング作業表: label 列に 正解/惜しい/誤り を記入（判定基準: CAL-9-CAL-10-design §3.4）
# 判定者: ____  判定日: ____
dish,model,step,trial,parsed_dish_name,label
conbini_bento,gpt-5.4,S1,1,そぼろ弁当（ご飯、鶏そぼろ、炒り卵、コロッケ、タルタル入りフライ、ハンバーグ、漬物）,
conbini_bento,gpt-5.4,S1,2,そぼろ弁当（ご飯、鶏そぼろ、炒り卵、コロッケ、タルタル入りフライ、ハンバーグ、漬物）,
conbini_bento,gpt-5.4,S1,3,三色そぼろ弁当（白身フライ・コロッケ・ハンバーグ付き）,
conbini_bento,gpt-5.4-mini,S1,1,三色そぼろ弁当（コロッケ・フライ付き）,
conbini_bento,gpt-5.4-mini,S1,2,三色そぼろ弁当（白ご飯、そぼろ、炒り卵、揚げ物2種、漬物）,
conbini_bento,gpt-5.4-mini,S1,3,三色そぼろ弁当（コロッケ・揚げ物付き）,
conbini_bento,google/gemma-4-31b-it,S1,1,おかず盛り合わせ弁当（そぼろご飯、コロッケ、メンチカツ、ハンバーグ）,
conbini_bento,google/gemma-4-31b-it,S1,2,おかず盛り合わせ弁当（そぼろご飯、コロッケ、メンチカツ、ハンバーグ）,
conbini_bento,google/gemma-4-31b-it,S1,3,おかず盛り合わせ弁当（そぼろご飯、コロッケ、メンチカツ、ハンバーグ）,
conbini_bento,moonshotai/kimi-k2.6,S1,1,そぼろとミックスフライ弁当,
conbini_bento,moonshotai/kimi-k2.6,S1,2,ミックスフライ弁当（そぼろご飯・漬物付き）,
conbini_bento,moonshotai/kimi-k2.6,S1,3,幕内弁当,
conbini_bento,gpt-5.4,S2,1,そぼろご飯と揚げ物盛り合わせ弁当,
conbini_bento,gpt-5.4,S2,2,そぼろ弁当（鶏そぼろご飯、炒り卵、高菜、コロッケ、タルタル入りフライ、メンチカツ）,
conbini_bento,gpt-5.4,S2,3,二色そぼろご飯と揚げ物盛り合わせ弁当,
conbini_bento,gpt-5.4-mini,S2,1,三色そぼろご飯とコロッケ・メンチカツの弁当,
conbini_bento,gpt-5.4-mini,S2,2,そぼろ三色ご飯とコロッケ・メンチカツの弁当,
conbini_bento,gpt-5.4-mini,S2,3,そぼろ三色ご飯と揚げ物の弁当,
conbini_bento,google/gemma-4-31b-it,S2,1,おかず盛り合わせ弁当（そぼろ丼・コロッケ・メンチカツ）,
conbini_bento,google/gemma-4-31b-it,S2,2,おかず盛り合わせ弁当（そぼろ丼・コロッケ・メンチカツ）,
conbini_bento,google/gemma-4-31b-it,S2,3,おかず盛り合わせ弁当（そぼろ丼・コロッケ・メンチカツ）,
conbini_bento,moonshotai/kimi-k2.6,S2,1,ハンバーグコロッケ弁当（そぼろご飯）,
conbini_bento,moonshotai/kimi-k2.6,S2,2,そぼろミックス弁当,
conbini_bento,moonshotai/kimi-k2.6,S2,3,幕の内弁当（ハンバーグ・コロッケ・そぼろご飯）,
conbini_bento,gpt-5.4,S3,1,そぼろご飯と揚げ物盛り合わせ弁当,
conbini_bento,gpt-5.4,S3,2,三色ごはんと揚げ物・ハンバーグの弁当,
conbini_bento,gpt-5.4,S3,3,三色ごはんと揚げ物・ハンバーグの弁当,
conbini_bento,gpt-5.4-mini,S3,1,三色そぼろご飯とコロッケ・メンチカツの弁当,
conbini_bento,gpt-5.4-mini,S3,2,三色そぼろご飯と揚げ物の弁当,
conbini_bento,gpt-5.4-mini,S3,3,三色そぼろご飯とコロッケ・メンチカツの弁当,
conbini_bento,google/gemma-4-31b-it,S3,1,おかず盛り合わせ弁当（そぼろご飯、コロッケ、メンチカツ）,
conbini_bento,google/gemma-4-31b-it,S3,2,おかず盛り合わせ弁当（コロッケ・メンチカツ・そぼろご飯）,
conbini_bento,google/gemma-4-31b-it,S3,3,おかず盛り合わせ弁当（コロッケ・メンチカツ・そぼろご飯）,
conbini_bento,moonshotai/kimi-k2.6,S3,1,鶏そぼろハンバーグ弁当（コロッケ・フライ付き）,
conbini_bento,moonshotai/kimi-k2.6,S3,2,そぼろご飯とハンバーグ・コロッケ弁当,
conbini_bento,moonshotai/kimi-k2.6,S3,3,そぼろハンバーグコロッケ弁当,
conbini_bento,gpt-5.4,S4,1,三色そぼろご飯と揚げ物盛り合わせ弁当,
conbini_bento,gpt-5.4,S4,2,三色ごはんと揚げ物盛り合わせ弁当,
conbini_bento,gpt-5.4,S4,3,三色ごはんと揚げ物盛り合わせ弁当,
conbini_bento,gpt-5.4-mini,S4,1,ミックス弁当（そぼろご飯＋コロッケ＋メンチカツ）,
conbini_bento,gpt-5.4-mini,S4,2,三色そぼろご飯と揚げ物の弁当,
conbini_bento,gpt-5.4-mini,S4,3,そぼろ三色ご飯とコロッケ・メンチカツの弁当,
conbini_bento,google/gemma-4-31b-it,S4,1,揚げ物盛り合わせ弁当（コロッケ・メンチカツ・そぼろご飯）,
conbini_bento,google/gemma-4-31b-it,S4,2,揚げ物盛り合わせ弁当（コロッケ・メンチカツ・そぼろご飯）,
conbini_bento,google/gemma-4-31b-it,S4,3,揚げ物盛り合わせ弁当（コロッケ・メンチカツ・そぼろご飯）,
conbini_bento,moonshotai/kimi-k2.6,S4,1,そぼろ弁当（コロッケ・ハンバーグ・フライ付き）,
conbini_bento,moonshotai/kimi-k2.6,S4,2,幕の内弁当,
conbini_bento,moonshotai/kimi-k2.6,S4,3,幕の内弁当（そぼろ・コロッケ・ハンバーグ・卵）,
sukiya_gyudon,gpt-5.4,S1,1,牛丼,
sukiya_gyudon,gpt-5.4,S1,2,牛丼,
sukiya_gyudon,gpt-5.4,S1,3,牛丼,
sukiya_gyudon,gpt-5.4-mini,S1,1,牛丼,
sukiya_gyudon,gpt-5.4-mini,S1,2,牛丼,
sukiya_gyudon,gpt-5.4-mini,S1,3,牛丼,
sukiya_gyudon,google/gemma-4-31b-it,S1,1,牛丼,
sukiya_gyudon,google/gemma-4-31b-it,S1,2,牛丼,
sukiya_gyudon,google/gemma-4-31b-it,S1,3,牛丼,
sukiya_gyudon,moonshotai/kimi-k2.6,S1,1,牛丼,
sukiya_gyudon,moonshotai/kimi-k2.6,S1,2,牛丼,
sukiya_gyudon,moonshotai/kimi-k2.6,S1,3,牛丼,
